id,rank
1911,0
923,1
7573,2
10239,3
10061,4
6153,5
10136,6
10172,7
10304,8
10185,9
10171,10
311,11
10501,12
10115,13
10479,14
10313,15
10440,16
10086,17
10430,18
10253,19
10369,20
7340,21
10465,22
10013,23
10095,24
10437,25
7535,26
10583,27
10238,28
10227,29
10092,30
10302,31
10289,32
10060,33
10520,34
10577,35
10332,36
10299,37
10153,38
132,39
10528,40
10200,41
10391,42
10093,43
10389,44
10029,45
10459,46
10296,47
10090,48
10451,49
10499,50
5366,51
10554,52
5233,53
10490,54
47,55
1909,56
10392,57
10540,58
10529,59
6952,60
10191,61
8296,62
10071,63
10145,64
10250,65
10519,66
10388,67
10311,68
10242,69
10044,70
10176,71
10181,72
10001,73
10105,74
10314,75
10184,76
7917,77
10505,78
10579,79
10509,80
10500,81
10319,82
10089,83
10077,84
10169,85
10175,86
10030,87
10373,88
10362,89
10564,90
6204,91
10396,92
10167,93
10265,94
10487,95
10241,96
10351,97
10110,98
10565,99
8153,100
10161,101
10074,102
131,103
10213,104
10414,105
10037,106
10224,107
5559,108
10177,109
7022,110
7519,111
10019,112
10377,113
10087,114
10494,115
10420,116
10003,117
9534,118
10407,119
10486,120
10216,121
10147,122
10228,123
10205,124
10124,125
4667,126
571,127
10341,128
10199,129
5166,130
10446,131
10248,132
10236,133
10057,134
10233,135
10439,136
10421,137
10405,138
9541,139
10496,140
10234,141
10343,142
10094,143
10445,144
3324,145
10102,146
10417,147
10489,148
10047,149
10469,150
10120,151
2640,152
10572,153
10569,154
10368,155
10139,156
10099,157
10152,158
10217,159
4773,160
312,161
10372,162
10461,163
10482,164
10423,165
10376,166
10454,167
10549,168
10055,169
10016,170
10192,171
10558,172
2413,173
10503,174
10251,175
2650,176
10453,177
10053,178
10345,179
10194,180
4501,181
10538,182
10141,183
10488,184
10183,185
3029,186
10026,187
10532,188
10301,189
10371,190
10070,191
10291,192
331,193
5740,194
10034,195
10504,196
10096,197
10287,198
10526,199
10546,200
10530,201
10477,202
4486,203
10491,204
10556,205
10384,206
3406,207
8810,208
10441,209
7226,210
10255,211
9563,212
10215,213
10246,214
4684,215
7652,216
10497,217
10062,218
10051,219
10471,220
10163,221
10346,222
10114,223
10555,224
10378,225
10084,226
10031,227
10023,228
10022,229
10138,230
10506,231
4955,232
10355,233
10512,234
10230,235
10104,236
10335,237
10012,238
210,239
10325,240
10481,241
10536,242
10270,243
10091,244
9376,245
10436,246
10137,247
10178,248
10456,249
10449,250
10028,251
7337,252
10344,253
10557,254
8577,255
7525,256
10385,257
1197,258
10360,259
10187,260
10103,261
3695,262
1782,263
5815,264
9639,265
7421,266
10223,267
10502,268
10458,269
10143,270
10045,271
10339,272
7349,273
10107,274
10067,275
10560,276
10277,277
10202,278
1704,279
10008,280
10278,281
7809,282
5714,283
4635,284
326,285
10342,286
10066,287
10210,288
5918,289
10401,290
9346,291
10516,292
10568,293
10058,294
6200,295
10310,296
10081,297
10455,298
10006,299
10116,300
3083,301
10229,302
5360,303
10279,304
10534,305
6428,306
10523,307
9985,308
10521,309
10404,310
10063,311
10400,312
10467,313
10075,314
10475,315
10390,316
6175,317
7701,318
10473,319
10363,320
10370,321
10240,322
2979,323
10002,324
521,325
2415,326
10422,327
10553,328
10571,329
10280,330
2530,331
10264,332
10263,333
4620,334
3799,335
10442,336
10472,337
4779,338
676,339
10035,340
7920,341
10209,342
7384,343
10180,344
2328,345
10247,346
4690,347
10211,348
10082,349
10151,350
10533,351
10108,352
4623,353
764,354
10011,355
10254,356
10000,357
10015,358
10358,359
10361,360
3458,361
2187,362
10575,363
2346,364
8341,365
10069,366
4256,367
4495,368
10162,369
10020,370
10348,371
10493,372
9958,373
10168,374
10106,375
10418,376
9335,377
10190,378
10173,379
9983,380
10088,381
10281,382
8915,383
1085,384
7672,385
10198,386
10159,387
4992,388
10582,389
48,390
7244,391
2353,392
10474,393
7664,394
1244,395
10322,396
8333,397
860,398
1965,399
10288,400
10518,401
10349,402
10464,403
10365,404
10466,405
788,406
10204,407
1963,408
79,409
10160,410
10068,411
5057,412
3434,413
10182,414
10040,415
811,416
10570,417
10330,418
125,419
9003,420
6412,421
9707,422
10165,423
10426,424
10552,425
10460,426
10431,427
4867,428
10562,429
5522,430
10150,431
10243,432
10127,433
10450,434
10364,435
1022,436
10038,437
5577,438
10112,439
10121,440
9998,441
10380,442
10326,443
10170,444
10429,445
10197,446
10480,447
8734,448
10468,449
10462,450
8243,451
6203,452
10543,453
7497,454
4193,455
4703,456
9999,457
10157,458
1353,459
10111,460
10416,461
3982,462
8110,463
10154,464
10517,465
1193,466
3408,467
7913,468
10303,469
5596,470
4643,471
10403,472
10189,473
10323,474
10425,475
10424,476
1153,477
1680,478
3617,479
7072,480
7604,481
8848,482
10260,483
10292,484
10397,485
5147,486
4502,487
10132,488
10567,489
10408,490
2538,491
1855,492
10492,493
2155,494
1321,495
10226,496
7826,497
4697,498
5105,499
10065,500
1633,501
10232,502
3999,503
10269,504
10402,505
6629,506
1771,507
7897,508
4783,509
7879,510
10018,511
10276,512
6548,513
8638,514
2382,515
10142,516
3492,517
4126,518
322,519
10072,520
124,521
10374,522
10258,523
10179,524
5768,525
4496,526
5108,527
7634,528
4048,529
6418,530
1732,531
10298,532
10300,533
4497,534
10307,535
5742,536
7345,537
10324,538
479,539
5532,540
10156,541
10514,542
2796,543
6699,544
8002,545
10286,546
8756,547
10027,548
8723,549
790,550
800,551
8730,552
4198,553
10117,554
5454,555
10427,556
10285,557
5566,558
643,559
256,560
7511,561
1177,562
10207,563
642,564
4133,565
5275,566
10356,567
10134,568
10398,569
10284,570
1638,571
5940,572
10525,573
834,574
4350,575
2492,576
8133,577
242,578
8951,579
2172,580
6606,581
6929,582
10327,583
5235,584
10014,585
10485,586
9124,587
3454,588
7691,589
128,590
257,591
5381,592
8790,593
10419,594
7919,595
397,596
2573,597
6169,598
4183,599
10118,600
5930,601
2495,602
7907,603
5037,604
3899,605
3878,606
947,607
2336,608
10245,609
10498,610
10393,611
8201,612
7278,613
7566,614
10101,615
10550,616
7398,617
7165,618
7311,619
10043,620
10334,621
8049,622
7184,623
3508,624
5274,625
10561,626
10535,627
