artist,color
gherasim luca,#008080
jozsef rippl ronai,#FFFFFF
angelica kauffman,#FFFF00
william leighton leitch,#00FFFF
claude lorrain,#000000
cornelis vreedenburgh,#0000FF
bertalan por,#FF00FF
marcel janco,#808080
kimon loghi,#008000
ferdinand georg waldm ller,#00FF00
pavel fedotov,#800000
emil nolde,#000080
zairis emmanuel,#808000
george bouzianis,#800080
albert pinkham ryder,#FF0000
ivan grohar,#C0C0C0
thalia flora karavia,#008080
theodore chasseriau,#FFFFFF
mario sironi,#FFFF00
adriaen van ostade,#00FFFF
p ricl s pantazis,#000000
constantin daniel rosenthal,#0000FF
william james glackens,#FF00FF
emile claus,#808080
richard oelze,#008000
francisc sirato,#00FF00
stefan popescu,#800000
lev lagorio,#000080
jan siberechts,#808000
efim volkov,#800080
ivan albright,#FF0000
t c steele,#C0C0C0
johannes sveinsson kjarval,#008080
alexey venetsianov,#FFFFFF
constantin guys,#FFFF00
george luks,#00FFFF
gr goire michonze,#000000
fern coppedge,#0000FF
neil welliver,#FF00FF
victor meirelles,#808080
canaletto,#008000
adolf fleischmann,#00FF00
nicolae darascu,#800000
paul mathiopoulos,#000080
dmitry levitzky,#808000
john roddam spencer stanhope,#800080
meijer de haan,#FF0000
edmund charles tarbell,#C0C0C0
costas niarchos,#008080
wilhelm leibl,#FFFFFF
wolf kahn,#FFFF00
armand guillaumin,#00FFFF
homer watson,#000000
adriaen van de venne,#0000FF
paul bril,#FF00FF
philip wilson steer,#808080
aleksandra ekster,#008000
adolphe joseph thomas monticelli,#00FF00
max weber,#800000
diego rivera,#000080
rudolf schweitzer cumpana,#808000
ad reinhardt,#800080
hercules seghers,#FF0000
pavel filonov,#C0C0C0
lembesis polychronis 1849 1913,#008080
miklos barabas,#FFFFFF
john lewis krimmel,#FFFF00
victor pasmore,#00FFFF
vasile dobrian,#000000
aurel cojan,#0000FF
m h maxy,#FF00FF
roger de la fresnaye,#808080
henri edmond cross,#008000
alexander ivanov,#00FF00
karoly ferenczy,#800000
nicolas tournier,#000080
julian alden weir,#808000
willard metcalf,#800080
albert huie,#FF0000
jacob isaakszoon van ruisdael,#C0C0C0
leon dabo,#008080
david bomberg,#FFFFFF
frits thaulow,#FFFF00
john trumbull,#00FFFF
philippe halsman,#000000
samuel mutzner,#0000FF
esaias van de velde,#FF00FF
giuseppe de nittis,#808080
franz richard unterberger,#008000
alberto burri,#00FF00
rene bertholo,#800000
marie denise villers,#000080
walter sickert,#808000
thomas girtin,#800080
charles francois daubigny,#FF0000
jean alexandru steriadi,#C0C0C0
karl edvard diriks,#008080
franz kline,#FFFFFF
william shayer,#FFFF00
ion andreescu,#00FFFF
leon spilliaert,#000000
george pemba,#0000FF
columbano bordalo pinheiro,#FF00FF
lembesis polychronis,#808080
laszlo mednyanszky,#008000
chang dai chien,#00FF00
arthur dove,#800000
vieira portuense,#000080
hendrick terbrugghen,#808000
matthias stom,#800080
eduardo viana,#FF0000
jules pascin,#C0C0C0
mihaly munkacsy,#008080
antoine pesne,#FFFFFF
jules joseph lefebvre,#FFFF00
mikhail lebedev,#00FFFF
roger fry,#000000
frederic edwin church,#0000FF
maxime lalanne,#FF00FF
johan christian dahl,#808080
constantin flondor,#008000
marcus larson,#00FF00
