name,index,rank
nicholas-roerich_courtiers-1912.jpg,6621,102
pyotr-konchalovsky_self-portrait-with-dog-1933.jpg,7993,103
boris-kustodiev_abbess-1920.jpg,898,104
boris-kustodiev_portrait-of-a-priest-and-a-deacon-1907.jpg,935,105
giovanni-boldini_portrait-of-madame-josephina-a-de-errazuriz.jpg,3305,106
boris-kustodiev_portrait-of-gury-nikolaevich-smirnov-a-cousin-of-the-artist-1898.jpg,942,107
salvador-dali_design-for-the-death-scene-in-don-juan-tenorio.jpg,8568,108
filipp-malyavin_verka-1913.jpg,2289,109
francisco-toledo_le-hamac.jpg,2432,110
felix-labisse_la-thebaide-1978.jpg,2188,111
constantin-piliuta_the-three-graces-1972.jpg,1486,112
martin-johnson-heade_a-vase-of-corn-lilies-and-heliotrope-1863.jpg,6024,113
mary-cassatt_mother-berthe-holding-her-baby-1900.jpg,6115,114
dante-gabriel-rossetti_the-rainbow-1876.jpg,1574,115
john-singer-sargent_drawing-4.jpg,5052,116
raphael-kirchner_all-healing-2.jpg,8072,117
franz-xaver-winterhalter_grand-duchess-of-russia-olga-feodorovna.jpg,2556,118
boris-kustodiev_portrait-of-dr-s-y-lyubimov-with-dog-1905.jpg,937,119
paul-delvaux_dialogue-1974.jpg,7453,120
paul-delvaux_the-temptation-of-saint-anthony-1945.jpg,7468,121
joan-ponc_la-pres-1950.jpg,4886,122
edgar-degas_woman-leaving-her-bath-1877.jpg,1775,123
endre-balint_unknown-title-1948.jpg,2033,124
raphael-kirchner_from-arcadia-1.jpg,8102,125
rene-magritte_the-taste-of-tears-1946.jpg,8427,126
nicholas-roerich_the-rite-of-spring.jpg,6893,127
conroy-maddox_decalcomania.jpg,1458,128
constantine-maleas_view-of-methana-1920.jpg,1497,129
nicholas-roerich_barrows-1915.jpg,6576,130
paul-cezanne_the-battle-of-love-1880.jpg,7432,131
marc-chagall_the-house-on-the-forest-edge-1914.jpg,5959,132
candido-portinari_dom-quixote-e-sancho-pan-a-saindo-para-suas-aventuras-1956.jpg,1145,133
zdislav-beksinski_untitled-648.jpg,9930,134
dimitrie-paciurea_woman-nude-1920.jpg,1674,135
dimitrie-paciurea_chimera-1923.jpg,1673,136
george-stubbs_a-foxhound-ringwod.jpg,2692,137
konstantin-korovin_costume-design-for-igor-in-the-production-of-prince-igor-at-the-mariinsky-theatre-1909.jpg,5506,138
nicholas-roerich_vignette-for-book-n-k-roerich-1918-2.jpg,6932,139
natalia-goncharova_mask.jpg,6552,140
nicholas-roerich_vignette-for-book-n-k-roerich-1918-6.jpg,6935,141
tarsila-do-amaral_the-moon-1928.jpg,8884,142
pablo-picasso_seated-woman-1960.jpg,7293,143
fernand-leger_rockefeller-branch-1952-1.jpg,2281,144
georges-braque_birds-1957.jpg,2709,145
joan-ponc_untitled-1971.jpg,4896,146
rene-magritte_a-little-of-the-bandit-s-soul.jpg,8364,147
rene-magritte_elective-affinities-1933.jpg,8375,148
valentin-serov_portrait-of-henrietta-girshman-1911.jpg,9114,149
konstantin-vasilyev_homesickness.jpg,5650,150
rene-magritte_force-of-habit-1960.jpg,8378,151
rene-magritte_fine-realities-1964.jpg,8377,152
rene-magritte_this-is-not-an-apple-1964.jpg,8432,153
mario-nuzzi_glowers-in-a-sculpted-vase-on-a-stone-plinth.jpg,6010,154
cuno-amiet_poppy-in-blue-vase-1908.jpg,1538,155
suzanne-valadon_roses-in-a-vase-1914.jpg,8863,156
arthur-segal_still-life-with-fruits-1911.jpg,667,157
pablo-picasso_bather-1931.jpg,7212,158
auguste-rodin_bust-of-gustav-mahler.jpg,746,159
auguste-rodin_bust-of-a-smiling-woman-1875.jpg,745,160
george-frederick-watts_bust-of-clytie.jpg,2668,161
auguste-rodin_camille-claudel.jpg,747,162
auguste-rodin_the-sinner.jpg,751,163
james-tissot_jacob-sees-esau-coming-to-meet-him.jpg,4606,164
gian-lorenzo-bernini_the-ecstasy-of-st-teresa.jpg,2818,165
peter-paul-rubens_cupid-and-psyche.jpg,7598,166
gian-lorenzo-bernini_st-augustine.jpg,2816,167
annibale-carracci_the-butcher-s-shop.jpg,519,168
salvador-dali_double-sided-verso-studio-scene.jpg,8573,169
rene-magritte_the-sea-of-flames-1946.jpg,8420,170
rembrandt_the-carcass-of-an-ox-1657.jpg,8308,171
edward-burne-jones_melchoir-picture-2.jpg,1907,172
winslow-homer_solitude.jpg,9809,173
rene-magritte_threshold-of-forest-1926.jpg,8433,174
ford-madox-brown_pretty-baa-lambs-1852.jpg,2292,175
winslow-homer_the-milk-maid.jpg,9811,176
egon-schiele_the-artist-s-sister-melanie-1908.jpg,1988,177
sabin-balasa_solemnity.jpg,8520,178
edvard-munch_towards-the-forest-ii-1915.jpg,1896,179
mikalojus-ciurlionis_morning-1904.jpg,6386,180
ivan-bilibin_rooster-1900.jpg,4254,181
berthe-morisot_the-goose.jpg,875,182
henri-martin_the-fishing-boats-on-the-strike-in-collioure.jpg,3845,183
jacek-yerka_profile.jpg,4413,184
mikalojus-ciurlionis_lightning-1909.jpg,6384,185
salvador-dali_wounded-soft-watch.jpg,8736,186
saul-steinberg_federal-projects-1981.jpg,8742,187
jacek-yerka_tempest-2012.jpg,4429,188
jacek-yerka_snail-s-rent.jpg,4419,189
jacek-yerka_short-firearms-1980.jpg,4418,190
jacek-yerka_the-roof-of-the-world.jpg,4436,191
giovanni-battista-piranesi_the-roman-antiquities-t-3-plate-xxv-details-of-the-ornaments-of-the-burial-chambers-above-inc.jpg,3140,192
salvador-dali_couple-with-clouds-in-their-heads-man.jpg,8562,193
jacek-yerka_tsunami-1998.jpg,4442,194
alexander-calder_hollow-egg-1939.jpg,205,195
grace-cossington-smith_landscape-at-pentecost-1929.jpg,3332,196
francis-picabia_self-portrait.jpg,2342,197
vincent-van-gogh_sorrow-1882-2.jpg,9444,198
zdislav-beksinski_untitled-634.jpg,9926,199
harry-clarke_the-year-s-at-the-spring-1920-33.jpg,3719,200
theophrastos-triantafyllidis_woman-in-white.jpg,8985,201
gustavo-foppiani_la-luna-nera-1971.jpg,3682,202
jacques-stella_jacob-s-ladder-1650.jpg,4562,203
nicholas-roerich_himalayas-29.jpg,6685,204
leon-bakst_cleopatre-a-danser-1910-1.jpg,5766,205
chronis-botsoglou_botsoglou-erotika-4.jpg,1327,206
salvador-dali_leda-s-swan-leda-and-the-swan.jpg,8606,207
alekos-kontopoulos_despite-fourth-hour-is-coming-1973.jpg,170,208
ernst-ludwig-kirchner_the-mountain.jpg,2080,209
leon-bakst_drawing-young-divinity-narcisse-costume-ballet-diaghilev-1911.jpg,5771,210
kuzma-petrov-vodkin_hurricane-1914.jpg,5691,211
mikhail-vrubel_sadko-1899.jpg,6474,212
salvador-dali_the-infant-jesus.jpg,8686,213
john-william-waterhouse_the-siren.jpg,5197,214
mikhail-vrubel_sappho.jpg,6475,215
pyotr-konchalovsky_landscape-at-siena-1912.jpg,7965,216
joaqu-n-sorolla_bathing-time-1904.jpg,4903,217
maurice-prendergast_gloucester-fishermen-s-houses-1915.jpg,6172,218
camille-corot_bacchante-with-a-panther-1860.jpg,1004,219
jean-leon-gerome_the-entry-of-the-bull.jpg,4844,220
edgar-degas_spartan-girls-challenging-boys-1860.jpg,1758,221
boris-kustodiev_in-the-market-day-1922.jpg,924,222
benjamin-west_the-death-of-socrates-1756.jpg,845,223
josefa-de-obidos_calv-rio-1679.jpg,5220,224
carlos-saenz-de-tejada_founding-act-of-the-municipal-savings-bank-of-vitoria-in-1850.jpg,1209,225
jean-auguste-dominique-ingres_antiochus-and-stratonice.jpg,4734,226
pieter-de-hooch_the-council-chamber-of-the-burgermasters.jpg,7918,227
sidney-nolan_glenrowan-1957.jpg,8788,228
annibale-carracci_christ-wearing-the-crown-of-thorns-supported-by-angels-1587.jpg,512,229
gustave-caillebotte_self-portrait-with-an-easel.jpg,3421,230
rembrandt_portrait-of-margeretha-de-geer-1661.jpg,8265,231
gustave-dore_two-owls.jpg,3599,232
gustave-caillebotte_portrait-of-a-man-writing-in-his-study.jpg,3418,233
raphael-kirchner_roma-1.jpg,8150,234
rene-magritte_the-evening-gown-1954.jpg,8400,235
josef-sima_evropa-1927.jpg,5218,236
jean-arp_idole.jpg,4724,237
egon-schiele_woman-with-black-hat-1909.jpg,1994,238
rene-magritte_the-philosophy-in-the-bedroom-1962.jpg,8418,239
gustave-caillebotte_calf-in-a-butcher-shop.jpg,3411,240
pablo-picasso_study-of-cannes-1927.jpg,7308,241
